id,categoria_seccion,categoria,subcategoria,producto,descripcion,precio
1,Servicios,Cortes,,Clásico,,35
2,Servicios,Cortes,,Degradado,,38
3,Servicios,Barba,,Barba,,30
4,Servicios,Barba,,Moustache,,25
5,Servicios,Barba,,Afeitado,,20
6,Servicios,Combos,,Clásico + Barba,,60
7,Servicios,Combos,,Clásico + Afeitado,,50
8,Servicios,Combos,,Degradado + Barba,,63
9,Servicios,Combos,,Degradado + Afeitado,,55
10,Servicios,Tratamientos,,Black Mask,,30
11,Servicios,Combos,,Clásico + Black Mask,,60
12,Servicios,Combos,,Degradado + Black Mask,,63
13,Servicios,Extras,,+ Cejas,Servicio adicional de perfilado de cejas,5
14,Servicios,Combos,,Polaco Signature,Corte + Barba/Afeitado + Black Mask + Perfilado de Ceja,95
